"";"book";"spk";"gender";"errors";"words";"WER";"wper"
"181";"1066";"533";"F";108;371;29,1105121293801;"70%"
"182";"10919";"4350";"M";109;498;21,8875502008032;"70%"
"183";"117016";"8131";"M";104;793;13,1147540983607;"70%"
"184";"117017";"8131";"M";77;431;17,8654292343387;"70%"
"185";"117029";"8131";"M";53;301;17,6079734219269;"70%"
"186";"12259";"4198";"M";153;504;30,3571428571429;"70%"
"187";"12281";"4198";"M";88;345;25,5072463768116;"70%"
"188";"128291";"2414";"M";165;304;54,2763157894737;"70%"
"189";"128292";"2414";"M";183;296;61,8243243243243;"70%"
"190";"130732";"367";"F";191;762;25,0656167979003;"70%"
"191";"131556";"533";"F";133;404;32,9207920792079;"70%"
"192";"131562";"533";"F";106;313;33,8658146964856;"70%"
"193";"131564";"533";"F";118;396;29,7979797979798;"70%"
"194";"142285";"1688";"M";179;1472;12,1603260869565;"70%"
"195";"142836";"3538";"F";149;593;25,1264755480607;"70%"
"196";"14317";"4294";"F";85;579;14,6804835924007;"70%"
"197";"15444";"1998";"F";182;527;34,5351043643264;"70%"
"198";"156975";"2609";"M";351;703;49,9288762446657;"70%"
"199";"157645";"2609";"M";104;255;40,7843137254902;"70%"
"200";"159411";"2414";"M";243;568;42,7816901408451;"70%"
"201";"159605";"3331";"F";208;998;20,8416833667335;"70%"
"202";"159609";"3331";"F";156;740;21,0810810810811;"70%"
"203";"163389";"3005";"M";68;324;20,9876543209877;"70%"
"204";"163390";"3005";"M";90;430;20,9302325581395;"70%"
"205";"163391";"3005";"M";117;498;23,4939759036145;"70%"
"206";"163399";"3005";"M";69;397;17,3803526448363;"70%"
"207";"163619";"3538";"F";38;364;10,4395604395604;"70%"
"208";"163622";"3538";"F";98;435;22,5287356321839;"70%"
"209";"163624";"3538";"F";77;569;13,5325131810193;"70%"
"210";"164914";"2033";"M";104;551;18,8747731397459;"70%"
"211";"164915";"2033";"M";88;526;16,7300380228137;"70%"
"212";"164916";"2033";"M";65;297;21,8855218855219;"70%"
"213";"165385";"2414";"M";21;76;27,6315789473684;"70%"
"214";"168656";"3528";"F";42;209;20,0956937799043;"70%"
"215";"168669";"3528";"F";246;1465;16,7918088737201;"70%"
"216";"168670";"3764";"F";110;841;13,0796670630202;"70%"
"217";"168671";"3764";"F";140;748;18,716577540107;"70%"
"218";"169640";"2609";"M";224;425;52,7058823529412;"70%"
"219";"180294";"3997";"F";93;699;13,3047210300429;"70%"
"220";"180297";"3997";"F";91;583;15,6089193825043;"70%"
"221";"182399";"3997";"F";95;334;28,4431137724551;"70%"
"222";"2330";"7105";"M";164;724;22,6519337016575;"70%"
"223";"2340";"7105";"M";175;750;23,3333333333333;"70%"
"224";"24317";"5484";"F";106;856;12,3831775700935;"70%"
"225";"24318";"5484";"F";111;877;12,6567844925884;"70%"
"226";"258277";"8461";"F";93;317;29,3375394321767;"70%"
"227";"266249";"8280";"F";241;1397;17,2512526843235;"70%"
"228";"269288";"8188";"M";155;708;21,8926553672316;"70%"
"229";"269290";"8188";"M";157;681;23,0543318649046;"70%"
"230";"274364";"8188";"M";64;308;20,7792207792208;"70%"
"231";"278226";"8461";"F";89;383;23,2375979112272;"70%"
"232";"280057";"7975";"M";107;420;25,4761904761905;"70%"
"233";"280063";"7975";"M";65;229;28,3842794759825;"70%"
"234";"280076";"7975";"M";165;628;26,2738853503185;"70%"
"235";"280084";"7975";"M";72;332;21,6867469879518;"70%"
"236";"280085";"7975";"M";84;431;19,4895591647332;"70%"
"237";"281231";"8461";"F";192;941;20,403825717322;"70%"
"238";"28311";"4852";"M";123;436;28,2110091743119;"70%"
"239";"28312";"4852";"M";149;486;30,6584362139918;"70%"
"240";"28319";"4852";"M";109;473;23,0443974630021;"70%"
"241";"28330";"4852";"M";84;411;20,4379562043796;"70%"
"242";"293981";"367";"F";109;579;18,8255613126079;"70%"
"243";"29454";"1998";"F";174;567;30,6878306878307;"70%"
"244";"29455";"1998";"F";193;613;31,4845024469821;"70%"
"245";"299665";"5764";"M";318;1188;26,7676767676768;"70%"
"246";"32859";"4294";"F";8;135;5,92592592592593;"70%"
"247";"32873";"5442";"F";143;511;27,9843444227006;"70%"
"248";"35475";"4294";"F";76;620;12,258064516129;"70%"
"249";"41168";"5442";"F";137;663;20,6636500754148;"70%"
"250";"41169";"5442";"F";111;451;24,6119733924612;"70%"
"251";"5032";"3080";"F";95;750;12,6666666666667;"70%"
"252";"5040";"3080";"F";112;910;12,3076923076923;"70%"
"253";"61336";"4198";"M";149;493;30,2231237322515;"70%"
"254";"63240";"6128";"F";118;627;18,8197767145136;"70%"
"255";"63241";"6128";"F";76;442;17,1945701357466;"70%"
