"";"book";"spk";"gender";"errors";"words";"WER";"wper"
"226";"294825";"8463";"F";70;321;21,8068535825545;"70%"
"227";"294828";"8463";"F";59;596;9,8993288590604;"70%"
"228";"31957";"908";"M";42;472;8,89830508474576;"70%"
"229";"32865";"5683";"F";17;272;6,25;"70%"
"230";"32866";"5683";"F";35;505;6,93069306930693;"70%"
"231";"32879";"5683";"F";23;465;4,94623655913978;"70%"
"232";"33396";"5142";"F";118;934;12,6338329764454;"70%"
"233";"36377";"5142";"F";66;623;10,5939004815409;"70%"
"234";"36586";"5142";"F";7;49;14,2857142857143;"70%"
"235";"36600";"5142";"F";6;64;9,375;"70%"
"236";"3979";"2830";"M";29;264;10,9848484848485;"70%"
"237";"3980";"2830";"M";116;1122;10,3386809269162;"70%"
"238";"40744";"5639";"M";130;1466;8,86766712141883;"70%"
"239";"41797";"4992";"F";66;473;13,953488372093;"70%"
"240";"41806";"4992";"F";60;475;12,6315789473684;"70%"
"241";"5694";"3570";"F";79;657;12,0243531202435;"70%"
"242";"5695";"3570";"F";43;459;9,3681917211329;"70%"
"243";"5696";"3570";"F";41;365;11,2328767123288;"70%"
"244";"6852";"3729";"F";65;1269;5,12214342001576;"70%"
"245";"68769";"6829";"F";97;773;12,5485122897801;"70%"
"246";"68771";"6829";"F";53;708;7,48587570621469;"70%"
"247";"70968";"61";"M";81;842;9,61995249406176;"70%"
"248";"70970";"61";"M";57;639;8,92018779342723;"70%"
"249";"75918";"6930";"M";32;479;6,68058455114822;"70%"
"250";"75946";"7127";"M";37;604;6,12582781456954;"70%"
"251";"75947";"7127";"M";46;661;6,95915279878971;"70%"
"252";"76324";"6930";"M";56;436;12,8440366972477;"70%"
"253";"79730";"7021";"M";15;281;5,33807829181495;"70%"
"254";"79740";"7021";"M";26;315;8,25396825396825;"70%"
"255";"79759";"7021";"M";6;122;4,91803278688525;"70%"
"256";"81414";"6930";"M";34;377;9,01856763925729;"70%"
"257";"85628";"7021";"M";34;477;7,12788259958071;"70%"
"258";"88083";"7176";"M";52;610;8,52459016393443;"70%"
"259";"92135";"7176";"M";146;855;17,0760233918129;"70%"
"260";"960";"2961";"F";71;640;11,09375;"70%"
"261";"961";"2961";"F";81;516;15,6976744186047;"70%"
