book;spk;gender;errors;words;WER;m_seed;d_seed;model
210777;8455;M;125;1376; 9,084302;1;26;d2
2271;4446;F; 59; 395;14,936709;1;26;d2
2273;4446;F; 43; 559; 7,692308;1;26;d2
2275;4446;F; 57; 576; 9,895833;1;26;d2
23283;4992;F; 22; 398; 5,527638;1;26;d2
274381;8224;M; 41; 673; 6,092125;1;26;d2
274384;8224;M; 15; 350; 4,285714;1;26;d2
279154;8230;M; 63;1237; 5,092967;1;26;d2
28233;5105;M; 24; 317; 7,570978;1;26;d2
28240;5105;M; 23; 482; 4,771784;1;26;d2
28241;5105;M; 19; 504; 3,769841;1;26;d2
284447;8555;F;105; 571;18,388792;1;26;d2
284449;8555;F; 60; 489;12,269939;1;26;d2
287645;8463;F; 17; 323; 5,263158;1;26;d2
29093;4970;F; 73; 600;12,166667;1;26;d2
29095;4970;F; 83; 735;11,292517;1;26;d2
292519;8555;F; 42; 286;14,685315;1;26;d2
294825;8463;F; 64; 321;19,937695;1;26;d2
294828;8463;F; 74; 596;12,416107;1;26;d2
31957;908;M; 47; 472; 9,957627;1;26;d2
32865;5683;F; 22; 272; 8,088235;1;26;d2
32866;5683;F; 54; 505;10,693069;1;26;d2
32879;5683;F; 25; 465; 5,376344;1;26;d2
33396;5142;F;138; 934;14,775161;1;26;d2
36377;5142;F; 76; 623;12,199037;1;26;d2
36586;5142;F;  6;  49;12,244898;1;26;d2
36600;5142;F;  5;  64; 7,812500;1;26;d2
3979;2830;M; 34; 264;12,878788;1;26;d2
3980;2830;M; 86;1122; 7,664884;1;26;d2
40744;5639;M;143;1466; 9,754434;1;26;d2
41797;4992;F; 58; 473;12,262156;1;26;d2
41806;4992;F; 62; 475;13,052632;1;26;d2
5694;3570;F; 73; 657;11,111111;1;26;d2
5695;3570;F; 40; 459; 8,714597;1;26;d2
5696;3570;F; 42; 365;11,506849;1;26;d2
6852;3729;F; 78;1269; 6,146572;1;26;d2
68769;6829;F; 99; 773;12,807245;1;26;d2
68771;6829;F; 53; 708; 7,485876;1;26;d2
70968;61;M; 79; 842; 9,382423;1;26;d2
70970;61;M; 56; 639; 8,763693;1;26;d2
75918;6930;M; 32; 479; 6,680585;1;26;d2
75946;7127;M; 32; 604; 5,298013;1;26;d2
75947;7127;M; 51; 661; 7,715582;1;26;d2
76324;6930;M; 56; 436;12,844037;1;26;d2
79730;7021;M; 16; 281; 5,693950;1;26;d2
79740;7021;M; 21; 315; 6,666667;1;26;d2
79759;7021;M;  6; 122; 4,918033;1;26;d2
81414;6930;M; 28; 377; 7,427056;1;26;d2
85628;7021;M; 37; 477; 7,756813;1;26;d2
88083;7176;M; 47; 610; 7,704918;1;26;d2
92135;7176;M;133; 855;15,555556;1;26;d2
960;2961;F; 65; 640;10,156250;1;26;d2
961;2961;F; 68; 516;13,178295;1;26;d2
102255;7729;M; 99;1151; 8,601216;1;42;d3
1180;1284;F; 54; 744; 7,258065;1;42;d3
