book;spk;gender;errors;words;WER;sys_monogender
41797;4992;F;102; 473;21,564482;M
41806;4992;F; 81; 475;17,052632;M
5694;3570;F;111; 657;16,894977;M
5695;3570;F; 68; 459;14,814815;M
5696;3570;F; 59; 365;16,164384;M
6852;3729;F; 95;1269; 7,486210;M
68769;6829;F;152; 773;19,663648;M
68771;6829;F; 92; 708;12,994350;M
70968;61;M; 93; 842;11,045131;M
70970;61;M; 73; 639;11,424100;M
75918;6930;M; 34; 479; 7,098121;M
75946;7127;M; 48; 604; 7,947020;M
75947;7127;M; 64; 661; 9,682300;M
76324;6930;M; 67; 436;15,366972;M
79730;7021;M; 19; 281; 6,761566;M
79740;7021;M; 39; 315;12,380952;M
79759;7021;M;  3; 122; 2,459016;M
81414;6930;M; 31; 377; 8,222812;M
85628;7021;M; 28; 477; 5,870021;M
88083;7176;M; 58; 610; 9,508197;M
92135;7176;M;148; 855;17,309942;M
960;2961;F; 80; 640;12,500000;M
961;2961;F; 80; 516;15,503876;M
