book;spk;gender;errors;words;WER;sys_monogender
35475;4294;F;176; 620;28,387097;M
41168;5442;F;193; 663;29,110106;M
41169;5442;F;186; 451;41,241685;M
5032;3080;F;210; 750;28,000000;M
5040;3080;F;200; 910;21,978022;M
61336;4198;M;161; 493;32,657201;M
63240;6128;F;208; 627;33,173844;M
63241;6128;F;141; 442;31,900452;M
63244;6128;F;377; 567;66,490300;M
63485;6070;F; 79; 310;25,483871;M
63722;6432;M;185; 843;21,945433;M
63723;6432;M;156; 964;16,182573;M
70848;6938;F;253; 417;60,671463;M
75788;7018;M; 59; 604; 9,768212;M
75789;7018;M;134;1119;11,974978;M
86744;6070;F;180; 840;21,428571;M
86745;6070;F; 70; 334;20,958084;M
9170;4350;M;235;1544;15,220207;M
96591;7902;M; 81; 497;16,297787;M
96592;7902;M;203; 850;23,882353;M
96594;7902;M;147; 365;40,273973;M
96595;7902;M;157; 368;42,663043;M
9934;4294;F; 97; 460;21,086957;M
